 ,Sr,Therapy Area,Condition,Molecule,Route of Administration,Country,Participants,Services,Sub Services,Channel,Adoption,Program Measure,Program benefit vs non-program,Source
0,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Co-pay,Telephone,35.0,Perc_Dispensed Rx,,https://doi.org/10.2146/ajhp110383
1,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Insurance support,Telephone,28.0,Perc_Dispensed Rx,,https://doi.org/10.2146/ajhp110383
2,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Free-Supply,Telephone,15.0,Perc_Dispensed Rx,,https://doi.org/10.2146/ajhp110383
3,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Co-pay,Telephone,35.0,Time-to-Initiation_days,,https://doi.org/10.2146/ajhp110383
4,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Insurance support,Telephone,28.0,Time-to-Initiation_days,,https://doi.org/10.2146/ajhp110383
5,1,Cancer-Haemtology,"Multiple Myeloma, Myelodysplastic Syndrome, Erythema Nodosum Leprosum","Lenalidomide, Thalidomide",Oral,USA,1000,Financial,Free-Supply,Telephone,15.0,Time-to-Initiation_days,,https://doi.org/10.2146/ajhp110383
6,2,Cancer,"Neuroendocrine tumours, Acromegaly",Octreotide,IV,Australia,129,Patient Education,Nurse/AHP assistance,Inperson,,PREM: Satisfaction_Positiv_Impact,,https://doi.org/10.1111/ajco.13477
7,2,Cancer,"Neuroendocrine tumours, Acromegaly",Octreotide,IV,Australia,129,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,PREM: Satisfaction_Positiv_Impact,,https://doi.org/10.1111/ajco.13477
8,2,Cancer,"Neuroendocrine tumours, Acromegaly",Octreotide,IV,Australia,129,Medicine Usage Support,Infusion (home),Inperson,,PREM: Satisfaction_Positiv_Impact,,https://doi.org/10.1111/ajco.13477
9,2,Cancer,"Neuroendocrine tumours, Acromegaly",Octreotide,IV,Australia,129,Medicine Usage Support,Testing,-,,PREM: Satisfaction_Positiv_Impact,,https://doi.org/10.1111/ajco.13477
